iter	Passed	Remaining
445	958	1190
446	960	1187
447	961	1184
448	963	1181
449	964	1178
450	965	1175
451	967	1172
452	968	1169
453	970	1167
454	971	1163
455	973	1160
456	974	1157
457	975	1154
458	977	1151
459	978	1148
460	979	1145
461	981	1142
462	983	1140
463	984	1137
464	985	1134
465	987	1131
466	989	1128
467	990	1126
468	992	1123
469	993	1120
470	995	1117
471	997	1115
472	998	1112
473	1000	1110
474	1001	1107
475	1003	1104
476	1005	1102
477	1006	1099
478	1008	1096
479	1009	1094
480	1011	1091
481	1013	1088
482	1014	1086
483	1016	1083
484	1017	1080
485	1019	1078
486	1020	1075
487	1022	1072
488	1024	1070
489	1025	1067
490	1027	1065
491	1029	1062
492	1031	1060
493	1032	1057
494	1034	1055
495	1035	1052
496	1037	1049
497	1038	1047
498	1040	1044
499	1041	1041
500	1043	1039
501	1045	1036
502	1046	1034
503	1048	1031
504	1049	1029
505	1051	1026
506	1052	1023
507	1054	1021
508	1055	1018
509	1057	1015
510	1058	1013
511	1060	1010
512	1061	1007
513	1063	1005
514	1064	1002
515	1066	999
516	1067	997
517	1068	994
518	1070	991
519	1071	989
520	1073	986
521	1074	983
522	1075	981
523	1077	978
524	1078	975
525	1079	973
526	1081	970
527	1083	968
528	1084	965
529	1085	963
530	1087	960
531	1088	957
532	1090	955
533	1091	952
534	1092	949
535	1094	947
536	1095	944
537	1097	942
538	1098	939
539	1100	937
540	1101	934
541	1102	931
542	1104	929
543	1105	926
544	1106	924
545	1108	921
546	1109	919
547	1111	916
548	1112	914
549	1113	911
550	1115	908
551	1116	906
552	1118	903
553	1119	901
554	1121	898
555	1122	896
556	1124	894
557	1125	891
558	1127	889
559	1128	886
560	1129	884
561	1131	881
562	1132	879
563	1133	876
564	1135	873
565	1136	871
566	1138	869
567	1139	866
568	1140	864
569	1142	861
570	1143	859
571	1145	856
572	1146	854
573	1147	851
574	1149	849
575	1150	847
576	1152	844
577	1153	842
578	1155	839
579	1156	837
580	1157	835
581	1159	832
582	1160	830
583	1161	827
584	1163	825
585	1164	822
586	1166	820
587	1167	818
588	1169	815
589	1170	813
590	1171	810
591	1173	808
592	1174	806
593	1175	803
594	1177	801
595	1178	799
596	1180	796
597	1181	794
598	1183	792
599	1184	789
600	1186	787
601	1187	785
602	1189	782
603	1190	780
604	1191	778
605	1193	775
606	1194	773
607	1196	771
608	1197	769
609	1199	766
610	1200	764
611	1201	762
612	1203	759
613	1204	757
614	1206	755
615	1207	752
616	1209	750
617	1211	748
618	1212	746
619	1214	744
620	1215	741
621	1217	739
622	1218	737
623	1219	735
624	1221	732
625	1222	730
626	1223	728
627	1225	725
628	1226	723
629	1228	721
630	1229	718
631	1230	716
632	1232	714
633	1233	712
634	1234	709
635	1236	707
636	1237	705
637	1238	702
638	1240	700
639	1241	698
640	1243	696
641	1244	694
642	1245	691
643	1247	689
644	1248	687
645	1250	685
646	1251	682
647	1253	680
648	1254	678
649	1255	676
650	1257	674
651	1258	671
652	1260	669
653	1261	667
654	1262	665
655	1264	662
656	1265	660
657	1267	658
658	1268	656
659	1269	654
660	1271	651
661	1272	649
662	1274	647
663	1275	645
664	1276	643
665	1278	641
666	1279	638
667	1281	636
668	1282	634
669	1283	632
670	1285	630
671	1286	628
672	1288	626
673	1289	623
674	1291	621
675	1292	619
676	1294	617
677	1295	615
678	1297	613
679	1298	611
680	1299	608
681	1301	606
682	1302	604
683	1304	602
684	1305	600
685	1307	598
686	1309	596
687	1310	594
688	1311	592
689	1313	590
690	1314	587
691	1316	585
692	1317	583
693	1318	581
694	1320	579
695	1322	577
696	1323	575
697	1325	573
698	1326	571
699	1328	569
700	1329	567
701	1331	565
702	1332	563
703	1334	561
704	1336	559
705	1337	556
706	1338	554
707	1339	552
708	1341	550
709	1342	548
710	1344	546
711	1345	544
712	1346	542
713	1348	540
714	1349	538
715	1351	536
716	1352	533
717	1354	531
718	1355	529
719	1357	527
720	1358	525
721	1360	523
722	1361	521
723	1366	520
724	1367	518
725	1369	516
726	1370	514
727	1372	512
728	1373	510
729	1375	508
730	1376	506
731	1378	504
732	1379	502
733	1381	500
734	1382	498
735	1383	496
736	1385	494
737	1386	492
738	1387	490
739	1389	488
740	1390	486
741	1392	484
742	1393	482
743	1395	480
744	1396	478
745	1398	476
746	1399	474
747	1401	471
748	1402	469
749	1404	468
750	1405	465
751	1406	463
752	1408	461
753	1409	459
754	1411	457
755	1412	455
756	1414	453
757	1415	451
758	1417	449
759	1418	448
760	1420	446
761	1421	444
762	1423	442
763	1424	440
764	1425	438
765	1427	436
766	1428	434
767	1430	431
768	1431	430
769	1433	428
770	1434	426
771	1436	424
772	1437	422
773	1438	420
774	1440	418
775	1441	416
776	1443	414
777	1444	412
778	1446	410
779	1447	408
780	1448	406
781	1450	404
782	1451	402
783	1453	400
784	1454	398
785	1456	396
786	1457	394
787	1458	392
788	1460	390
789	1461	388
790	1463	386
791	1464	384
792	1466	382
793	1467	380
794	1468	378
795	1470	376
796	1471	374
797	1473	372
798	1474	370
799	1476	369
800	1477	367
801	1479	365
802	1480	363
803	1482	361
804	1483	359
805	1485	357
806	1486	355
807	1488	353
808	1489	351
809	1491	349
810	1492	347
811	1494	345
812	1495	344
813	1497	342
814	1498	340
815	1500	338
816	1501	336
817	1502	334
818	1504	332
819	1505	330
820	1507	328
821	1508	326
822	1510	324
823	1511	322
824	1512	320
825	1514	318
826	1515	317
827	1517	315
828	1518	313
829	1519	311
830	1521	309
831	1522	307
832	1524	305
833	1525	303
834	1527	301
835	1528	299
836	1529	297
837	1531	296
838	1532	294
839	1534	292
840	1535	290
841	1537	288
842	1538	286
843	1539	284
844	1541	282
845	1542	280
846	1544	278
847	1545	277
848	1547	275
849	1548	273
850	1550	271
851	1551	269
852	1553	267
853	1554	265
854	1556	263
855	1557	261
856	1558	260
857	1560	258
858	1561	256
859	1563	254
860	1564	252
861	1566	250
862	1567	248
863	1568	246
864	1570	245
865	1571	243
866	1572	241
867	1574	239
868	1575	237
869	1577	235
870	1579	233
871	1580	232
872	1582	230
873	1583	228
874	1584	226
875	1586	224
876	1587	222
877	1589	220
878	1590	219
879	1592	217
880	1593	215
881	1595	213
882	1596	211
883	1598	209
884	1599	207
885	1600	205
886	1602	204
887	1603	202
888	1605	200
889	1606	198
890	1608	196
891	1609	194
892	1610	193
893	1612	191
894	1613	189
895	1615	187
896	1616	185
897	1618	183
898	1619	181
899	1620	180
900	1622	178
901	1623	176
902	1625	174
903	1626	172
904	1627	170
905	1629	169
906	1631	167
907	1632	165
908	1634	163
909	1635	161
910	1637	159
911	1638	158
912	1639	156
913	1641	154
914	1642	152
915	1643	150
916	1645	148
917	1646	147
918	1648	145
919	1649	143
920	1651	141
921	1652	139
922	1654	138
923	1655	136
924	1657	134
925	1658	132
926	1660	130
927	1661	128
928	1663	127
929	1664	125
930	1666	123
931	1667	121
932	1668	119
933	1670	118
934	1671	116
935	1673	114
936	1674	112
937	1675	110
938	1677	108
939	1678	107
940	1680	105
941	1681	103
942	1682	101
943	1684	99
944	1685	98
945	1687	96
946	1691	94
947	1694	92
948	1698	91
949	1701	89
950	1705	87
951	1708	86
952	1712	84
953	1715	82
954	1719	81
955	1722	79
956	1726	77
957	1729	75
958	1733	74
959	1737	72
960	1740	70
961	1744	68
962	1748	67
963	1752	65
964	1756	63
965	1759	61
966	1763	60
967	1767	58
968	1770	56
969	1774	54
970	1778	53
971	1782	51
972	1785	49
973	1789	47
974	1793	45
975	1797	44
976	1801	42
977	1805	40
978	1808	38
979	1812	36
980	1816	35
981	1820	33
982	1823	31
983	1827	29
984	1830	27
985	1834	26
986	1838	24
987	1842	22
988	1846	20
989	1849	18
990	1853	16
991	1857	14
992	1860	13
993	1864	11
994	1868	9
995	1871	7
996	1875	5
997	1879	3
998	1883	1
999	1886	0
